0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.029,0.028,0.028,0.028,0.032,0.028,0.028,0.028,0.032,0.032,0.028,0.029
B,0.03,0.031,0.031,0.029,0.034,0.03,0.029,0.032,0.032,0.031,0.033,0.03
C,0.028,0.032,0.033,0.029,0.029,0.031,0.031,0.031,0.032,0.03,0.03,0.028
D,0.029,0.032,0.032,0.032,0.029,0.032,0.031,0.031,0.032,0.032,0.032,0.032
E,0.029,0.03,0.031,0.031,0.03,0.03,0.031,0.031,0.031,0.03,0.031,0.029
F,0.03,0.029,0.031,0.03,0.029,0.034,0.03,0.031,0.031,0.03,0.029,0.029
G,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.031,0.03,0.032,0.03,0.029
H,0.029,0.03,0.029,0.031,0.031,0.029,0.029,0.028,0.03,0.031,0.03,0.029
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126
B,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126
C,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126
D,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126
E,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126
F,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126
G,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126
H,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126,TH126